Site,Pinus_ponderosa,Pinus_strobiformis,Ps._menziesii,Pinus_arizonica,Pinus_discolor,Pinus_engelmanii,Abies_concolor,Abies_bifolia,Pinus_cembroides,Pinus_leiophylla,Pinus_monophylla,Pinus_fexilis
Catalina 1,1,1,1,0,0,0,0,0,0,0,0,0
Catalina 2,0,0,0,1,0,0,0,0,0,0,0,0
Chiricahua 1,0,1,1,0,1,1,0,0,0,0,0,0
Chiricahua 2,0,1,1,1,0,1,1,0,0,0,0,0
Elenita 1,0,0,0,1,1,1,0,0,0,0,0,0
Elenita 2,0,0,0,1,0,1,0,0,0,0,0,0
El Pinal 1,1,1,1,0,0,0,0,1,0,0,0,0
El Pinal 2,1,1,1,0,0,0,0,1,0,0,0,0
Galiuro 1,1,0,0,0,0,0,0,0,1,1,1,0
Galiuro 2,1,0,1,0,0,0,0,0,0,0,0,0
Huachuca 1,0,0,0,0,1,0,0,0,0,1,0,0
Huachuca 2,0,0,0,0,1,0,0,0,0,1,0,0
Mariquita 1,0,1,0,1,1,1,0,0,0,0,0,0
Mariquita 2,0,1,0,1,0,1,0,0,0,0,0,0
Pinaleno 1,0,0,1,1,0,0,0,0,0,0,0,0
Pinaleno 2,0,0,1,1,0,0,1,0,0,0,0,0
Santa Rita 1,0,1,1,1,0,0,0,0,0,0,0,1