S,97%_id,name,subgenus,sporocarp,Bishop,Menziesii,Glauca
ELP2-RB-620,ELP2-RB-620,R._salebrosus_1,Amylopogon,41,107,0,0
HUA2-RB-540,ELP2-RB-620,R._salebrosus_2,Amylopogon,12,38,0,0
CAT2-RB-106,CAT2-RB-106,R._truncatus,none,0,2,0,0
CAT2-RB-127,CAT2-RB-127,R._fuscorubens,Rhizopogon,0,5,0,0
MAR2-RB-807,MAR2-RB-807,R._occidentalis,Rhizopogon,0,7,0,1
ELE2-RB-757,ELE2-RB-757,R._ochraceorubens,Rhizopogon,0,2,0,0
ELE2-RB-748,ELE2-RB-748,R._granuloflavus,Roseoli,0,2,0,0
HUA1-CPP-2018-157,RIT1-RB-669,R._pseudoroseolus,Roseoli,7,22,0,0
RIT1-RB-670,RIT1-RB-669,R._pseudoroseolus_2,Roseoli,2,7,0,0
ELP2-RB-621,ELP2-RB-621,R._pseudoroseolus_3,Roseoli,2,2,0,0
ELP2-RB-633,ELP2-RB-633,R._roseolus,Roseoli,0,3,0,0
ELP1-RB-579,ELP2-RB-633,R._roseolus_2,Roseoli,1,40,0,0
RIT1-RB-646,ELP2-RB-633,R._roseolus_3,Roseoli,0,7,0,0
CAT2-RB-099,CAT2-RB-099,R._evadens,Versicolores,2,4,0,0
ELP1-RG-501,ELP1-RG-501,R._hawkerae,Villosuli,0,0,7,3
CHI1-CPP-2017-063,ELP1-RG-501,R._hawkerae_2,Villosuli,2,0,18,11
PIN1-RM-105,ELP1-RG-501,R._hawkerae_3,Villosuli,1,0,29,11
CAT2-RM-048,CAT2-RM-048,R._villosulus,Villosuli,0,0,4,2
CAT1-RG-002,PIN2-RM-123,R._villosulus_2,Villosuli,1,0,4,11
ELP1-RM-535,ELP1-RM-535,R._villosulus_3,Villosuli,2,0,46,18
CAT1-RM-019,CAT1-RM-019,R._vinicolor,Villosuli,9,0,18,0